symbol,group,name
AAIT,NASDAQ Global Market,iShares MSCI All Country Asia Information Technology Index Fund
AAL,NASDAQ Global Select Market,"American Airlines Group, Inc. - Common Stock"
AAME,NASDAQ Global Market,Atlantic American Corporation - Common Stock
AAOI,NASDAQ Global Market,"Applied Optoelectronics, Inc. - Common Stock"
AAON,NASDAQ Global Select Market,"AAON, Inc. - Common Stock"
AAPL,NASDAQ Global Select Market,Apple Inc. - Common Stock
AAVL,NASDAQ Global Market,"Avalanche Biotechnologies, Inc. - Common Stock"
AAWW,NASDAQ Global Select Market,Atlas Air Worldwide Holdings - Common Stock
AAXJ,NASDAQ Global Market,iShares MSCI All Country Asia ex Japan Index Fund
ABAC,NASDAQ Capital Market,"Aoxin Tianli Group, Inc. - Common Shares"
ABAX,NASDAQ Global Select Market,"ABAXIS, Inc. - Common Stock"
ABCB,NASDAQ Global Select Market,Ameris Bancorp - Common Stock
ABCD,NASDAQ Capital Market,"Cambium Learning Group, Inc. - Common Stock"
ABCO,NASDAQ Global Select Market,The Advisory Board Company - Common Stock
ABCW,NASDAQ Global Select Market,Anchor BanCorp Wisconsin Inc. - Common Stock
ABDC,NASDAQ Global Select Market,Alcentra Capital Corp. - Common Stock
ABGB,NASDAQ Global Select Market,"Abengoa, S.A. - American Depositary Shares"
ABIO,NASDAQ Capital Market,"ARCA biopharma, Inc. - Common Stock"
ABMD,NASDAQ Global Select Market,"ABIOMED, Inc. - Common Stock"
ABTL,NASDAQ Capital Market,Autobytel Inc. - Common Stock
ABY,NASDAQ Global Select Market,Abengoa Yield plc - Ordinary Shares
ACAD,NASDAQ Global Select Market,ACADIA Pharmaceuticals Inc. - Common Stock
ACAS,NASDAQ Global Select Market,"American Capital, Ltd. - Common Stock"
ACAT,NASDAQ Global Select Market,Arctic Cat Inc. - Common Stock
ACET,NASDAQ Global Select Market,Aceto Corporation - Common Stock
ACFC,NASDAQ Global Market,Atlantic Coast Financial Corporation - Common Stock
