symbol,group,description
A,US Equity,Agilent Technologies Inc.
AA,US Equity,ALCOA CORPORATION
AAC,US Equity,AAC Holdings Inc
AAL,US Equity,AMERICAN AIRLINES GROUP INC
AAME,US Equity,Atlantic American Corp.
AAN,US Equity,Aaron Rents Inc.
AAOI,US Equity,APPLIED OPTOELECTRONICS INC
AAON,US Equity,AAON Inc.
AAP,US Equity,Advance Auto Parts
AAPL,US Equity,Apple Inc.
AAT,US Equity,AMERICAN ASSETS TR INC
AAWW,US Equity,Atlas Air Worldwide Holdings
AB,US Equity,AllianceBernstein Holding L.P.
ABAX,US Equity,Abaxis Inc.
ABBV,US Equity,ABBVIE INC
ABC,US Equity,AmerisourceBergen Corp.
ABCB,US Equity,Ameris Bancorp
ABCO,US Equity,Advisory Board Co.
ABDC,US Equity,ALCENTRA CAP CORP
ABEO,US Equity,Abeona Therapeutics Inc
ABG,US Equity,Asbury Automotive Group Inc.
ABIO,US Equity,ARCA biopharma Inc.
ABM,US Equity,ABM Industries Inc.
ABMD,US Equity,Abiomed Inc.
ABR,US Equity,Arbor Realty Trust Inc.
ABT,US Equity,Abbott Laboratories
ABTL,US Equity,Autobytel Inc.
ABTX,US Equity,ALLEGIANCE BANCSHARES INC
AC,US Equity,ASSOCIATED CAP GROUP INC
ACAD,US Equity,ACADIA Pharmaceuticals Inc.
ACAS,US Equity,AMERICAN CAP LTD
ACAT,US Equity,Arctic Cat Inc.
ACC,US Equity,American Campus Communities Inc.
ACCO,US Equity,ACCO Brands Corp.
ACET,US Equity,Aceto Corp.
ACGL,US Equity,Arch Capital Group Ltd.
ACHC,US Equity,ACADIA HEALTHCARE COMPANY INC
ACHI,US Equity,ACCRETIVE HEALTH INC
ACHN,US Equity,Achillion Pharmaceuticals Inc.
ACIA,US Equity,ACACIA COMMUNICATIONS INC
ACIW,US Equity,ACI Worldwide Inc.
ACLS,US Equity,Axcelis Technologies Inc
ACM,US Equity,AECOM Technology Corp.
ACOR,US Equity,Acorda Therapeutics Inc.
ACRE,US Equity,ARES COML REAL ESTATE CORP
ACRS,US Equity,ACLARIS THERAPEUTICS INC
ACRX,US Equity,ACELRX PHARMACEUTICALS INC
ACTA,US Equity,Actua Corp
ACTG,US Equity,Acacia Research Corp. - Acacia Technologie
ACU,US Equity,Acme United Corp.
ACUR,US Equity,Acura Pharmaceuticals Inc.
ACXM,US Equity,Acxiom Corp.
ACY,US Equity,Aerocentury Corp.
ADAT,US Equity,Authentidate Holding Corp.
ADBE,US Equity,Adobe Systems Inc.
ADC,US Equity,Agree Realty Corp.
ADES,US Equity,ADA-ES Inc.
ADI,US Equity,Analog Devices Inc.
ADK,US Equity,AdCare Health Systems Inc.
ADM,US Equity,Archer Daniels Midland Co.
ADMP,US Equity,ADAMIS PHARMACEUTICALS CORP
ADNT,US Equity,ADIENT PLC
ADP,US Equity,Automatic Data Processing Inc.
ADPT,US Equity,Adeptus Health Inc
ADRO,US Equity,ADURO BIOTECH INC
ADS,US Equity,Alliance Data Systems Corp.
ADSK,US Equity,Autodesk Inc.
ADSW,US Equity,ADVANCED DISP SVCS INC DEL
ADTN,US Equity,Adtran Inc.
ADUS,US Equity,ADDUS HOMECARE CORP
ADVM,US Equity,Adverum Biotechnologies Inc
ADXS,US Equity,ADVAXIS INC
AE,US Equity,Adams Resources & Energy Inc.
AEE,US Equity,Ameren Corp.
AEGN,US Equity,Aegion corp
AEHR,US Equity,Aehr Test Systems
AEIS,US Equity,Advanced Energy Industries Inc.
AEL,US Equity,American Equity Investment Life Holding Co
AEO,US Equity,American Eagle Outfitters Inc.
AEP,US Equity,American Electric Power Co. Inc.
AEPI,US Equity,AEP Industries Inc.
AERG,US Equity,Applied Energetics Inc.
AERI,US Equity,AERIE PHARMACEUTICALS INC
AERT,US Equity,Advanced Environmental Recycling Technol
AES,US Equity,AES Corp.
AET,US Equity,Aetna Inc.
AETI,US Equity,American Electric Technologies Inc.
AEY,US Equity,ADDvantage Technologies Group Inc.
AF,US Equity,Astoria Financial Corp.
AFAM,US Equity,Almost Family Inc.
AFCO,US Equity,AMERICAN FARMLAND CO
AFFY,US Equity,Affymax Inc.
AFG,US Equity,American Financial Group Inc.
AFH,US Equity,Atlas Financial Holding
AFI,US Equity,ARMSTRONG FLOORING INC
AFL,US Equity,AFLAC Inc.
AFSI,US Equity,AmTrust Financial Services Inc.
AGCO,US Equity,AGCO Corp.
AGEN,US Equity,Antigenics Inc.
AGII,US Equity,Argo Group International Holdings Ltd.
AGIO,US Equity,AGIOS PHARMACEUTICALS INC
AGLE,US Equity,Aeglea Biotherapeutics
AGM,US Equity,Federal Agricultural Mortgage Corp. Cl C
AGN,US Equity,Actavis Plc
AGNC,US Equity,Agnc Invt Corp
AGNU,US Equity,Wells-Gardner Electronics Corp.
AGO,US Equity,Assured Guaranty Ltd.
AGR,US Equity,Avangrid Inc
AGRX,US Equity,AGILE THERAPEUTICS INC
AGTC,US Equity,APPLIED GENETIC TECHNOL CORP
AGX,US Equity,Argan Inc.
AGYS,US Equity,Agilysys Inc.
AHC,US Equity,A. H. Belo Corp.
AHGP,US Equity,Alliance Holdings GP L.P.
AHH,US Equity,ARMADA HOFFLER PPTYS INC
AHL,US Equity,Aspen Insurance Holdings Ltd.
AHP,US Equity,Ashford Hospitality Prime Inc.
AHPI,US Equity,Allied Healthcare Prods Inc
AHT,US Equity,Ashford Hospitality Trust Inc.
AI,US Equity,ARLINGTON ASSET INVT CORP
AIG,US Equity,American International Group Inc.
AIMC,US Equity,Altra Holdings Inc.
AIMT,US Equity,AIMMUNE THERAPEUTICS INC
AIN,US Equity,Albany International Corp.
AINC,US Equity,Ashford Inc
AINV,US Equity,APOLLO INVT CORP
AIQ,US Equity,Alliance HealthCare Services Inc.
AIR,US Equity,AAR Corp.
AIRG,US Equity,AIRGAIN INC
AIRM,US Equity,Air Methods Corp.
AIRT,US Equity,Air T Inc.
AIT,US Equity,Applied Industrial Technologies Inc.
AIV,US Equity,Apartment Investment & Management Co.
AIZ,US Equity,Assurant Inc.
AJG,US Equity,Arthur J. Gallagher & Co.
AJRD,US Equity,Aerojet Rocketdyne Hldgs Inc
AJX,US Equity,GREAT AJAX CORP
AKAM,US Equity,Akamai Technologies Inc.
AKAO,US Equity,ACHAOGEN INC
AKBA,US Equity,AKEBIA THERAPEUTICS INC
AKER,US Equity,AKERS BIOSCIENCES INC
AKR,US Equity,Acadia Realty Trust
AKRX,US Equity,Akorn Inc.
AKS,US Equity,AK Steel Holding Corp.
AL,US Equity,AIR LEASE CORP
ALB,US Equity,Albemarle Corp.
ALBO,US Equity,Albireo Pharma Inc
ALCO,US Equity,Alico Inc.
ALDR,US Equity,ALDER BIOPHARMACEUTICALS INC
ALDW,US Equity,ALON USA PARTNERS LP
ALDX,US Equity,ALDEYRA THERAPEUTICS INC
ALE,US Equity,Allete Inc.
ALEX,US Equity,ALEXANDER & BALDWIN INC
ALG,US Equity,Alamo Group Inc.
ALGN,US Equity,Align Technology Inc.
ALGT,US Equity,Allegiant Travel Co.
ALIM,US Equity,ALIMERA SCIENCES INC
ALJ,US Equity,Alon USA Energy Inc.
ALK,US Equity,Alaska Air Group Inc.
ALKS,US Equity,Alkermes PLC
ALL,US Equity,Allstate Corp.
ALLY,US Equity,Ally Finl Inc
ALNY,US Equity,Alnylam Pharmaceuticals Inc.
ALOG,US Equity,Analogic Corp.
ALOT,US Equity,Astro-Med Inc.
ALR,US Equity,Alere Inc.
ALRM,US Equity,ALARM COM HLDGS INC
ALSK,US Equity,Alaska Communications Systems Group Inc
ALSN,US Equity,ALLISON TRANSMISSION HLDGS INC
ALV,US Equity,AUTOLIV INC
ALX,US Equity,Alexander's Inc.
ALXN,US Equity,Alexion Pharmaceuticals Inc.
AM,US Equity,ANTERO MIDSTREAM PARTNERS LP
AMAG,US Equity,AMAG Pharmaceuticals Inc.
AMAT,US Equity,Applied Materials Inc.
AMBA,US Equity,AMBARELLA INC
AMBR,US Equity,AMBER RD INC
AMC,US Equity,AMC ENTMT HLDGS INC
AMCC,US Equity,Applied Micro Circuits Corp.
AMCX,US Equity,AMC NETWORKS INC
AMD,US Equity,Advanced Micro Devices Inc.
AMDA,US Equity,Amedica Corp
AME,US Equity,Ametek Inc.
AMED,US Equity,Amedisys Inc.
AMG,US Equity,Affiliated Managers Group Inc.
AMGN,US Equity,Amgen Inc.
AMH,US Equity,AMERICAN HOMES 4 RENT
AMID,US Equity,AMERICAN MIDSTREAM PARTNERS
AMKR,US Equity,Amkor Technology Inc.
AMMA,US Equity,ALLIANCE MMA INC
AMN,US Equity,AMN Healthcare Services Inc.
AMNB,US Equity,American National Bankshares Inc.
AMOT,US Equity,Allied Motion Technologies Inc.
AMP,US Equity,Ameriprise Financial Inc.
AMPE,US Equity,AMPIO PHARMACEUTICALS INC
AMPH,US Equity,Amphastar Pharmaceutical
AMRB,US Equity,American River Bankshares
AMRC,US Equity,AMERESCO INC
AMRI,US Equity,Albany Molecular Research Inc.
AMRS,US Equity,AMYRIS INC
AMS,US Equity,American Shared Hospital Services
AMSC,US Equity,American Superconductor Corp.
AMSF,US Equity,AMERISAFE Inc.
AMSWA,US Equity,American Software Inc.
AMT,US Equity,American Tower Corp. Cl A
AMTD,US Equity,TD Ameritrade Holding Corp.
AMTY,US Equity,Amerityre Corp.
AMWD,US Equity,American Woodmark Corp.
AMZN,US Equity,Amazon.com Inc.
AN,US Equity,AutoNation Inc.
ANAT,US Equity,American National Insurance Co.
ANCX,US Equity,Access National Corp.
ANDE,US Equity,Andersons Inc.
ANDR,US Equity,Andrea Electronics Corp.
ANET,US Equity,ARISTA NETWORKS INC
ANF,US Equity,Abercrombie & Fitch Co.
ANGI,US Equity,ANGIES LIST INC
ANGO,US Equity,AngioDynamics Inc.
ANH,US Equity,Anworth Mortgage Asset Corp.
ANIK,US Equity,Anika Therapeutics Inc.
ANIP,US Equity,Ani Pharmaceuticals Inc
ANSS,US Equity,Ansys Inc.
ANTH,US Equity,ANTHERA PHARMACEUTICALS INC
ANTM,US Equity,Anthem Inc.
AOI,US Equity,Alliance One International Inc.
AOS,US Equity,A.O. Smith Corp.
AOSL,US Equity,ALPHA & OMEGA SEMICONDUCTOR
AP,US Equity,Ampco-Pittsburgh Corp.
APA,US Equity,Apache Corp.
APAM,US Equity,ARTISAN PARTNERS ASSET MGMT
APC,US Equity,Anadarko Petroleum Corp.
APD,US Equity,Air Products & Chemicals Inc.
APDN,US Equity,APPLIED DNA SCIENCES INC
APEI,US Equity,American Public Education Inc.
APEN,US Equity,Apollo Endosurgery Inc
APFH,US Equity,ADVANCEPIERRE FOODS HLDGS IN
APH,US Equity,Amphenol Corp. Cl A
APLE,US Equity,APPLE HOSPITALITY REIT INC
APLP,US Equity,Archrock Partners L P
APOG,US Equity,Apogee Enterprises Inc.
APOL,US Equity,Apollo Group Inc.
APPF,US Equity,APPFOLIO INC
APRI,US Equity,NexMed Inc.
APTI,US Equity,APPTIO INC
APTS,US Equity,PREFERRED APT CMNTYS INC
APU,US Equity,Amerigas Partners L.P.
APVO,US Equity,APTEVO THERAPEUTICS INC
AQMS,US Equity,AQUA METALS INC COM
AR,US Equity,ANTERO RES CORP
ARA,US Equity,American Renal Associat
ARAY,US Equity,Accuray Inc.
