Date,AAPL,QQQ,SPY,TSLA
2016-12-07,26.12763,113.963272,205.075211,38.630001
2016-12-08,26.384129,114.165459,205.577438,38.458
2016-12-09,26.814766,115.060951,206.819183,38.436001
2016-12-12,26.661808,114.540985,206.581833,38.486
2016-12-13,27.106564,115.98526,207.960541,39.630001
2016-12-14,27.106564,115.74456,206.243988,39.737999
2016-12-15,27.254814,115.92749,207.093109,39.515999
2016-12-16,27.290115,115.497772,206.68808,40.498001
2016-12-19,27.447777,115.970963,207.138138,40.546001
2016-12-20,27.520723,116.415176,207.93721,41.757999
2016-12-21,27.546612,116.328255,207.358597,41.540001
2016-12-22,27.365417,115.999916,207.000381,41.689999
2016-12-23,27.419537,116.077171,207.303482,42.667999
2016-12-27,27.593676,116.675919,207.81778,43.905998
2016-12-28,27.476019,115.76815,206.10022,43.948002
2016-12-29,27.468956,115.603981,206.054337,42.936001
2016-12-30,27.254814,114.416176,205.301208,42.737999
2017-01-03,27.33247,115.439819,206.87178,43.397999
2017-01-04,27.30188,116.06752,208.102509,45.397999
2017-01-05,27.440723,116.724197,207.93721,45.349998
2017-01-06,27.746635,117.747849,208.681137,45.801998
2017-01-09,28.00078,118.134125,207.992279,46.256001
2017-01-10,28.029022,118.394859,207.992279,45.973999
2017-01-11,28.179623,118.713539,208.580109,45.945999
2017-01-12,28.061964,118.530052,208.056549,45.917999
2017-01-13,28.012547,118.935646,208.534195,47.549999
2017-01-17,28.238455,118.578339,207.799438,47.116001
2017-01-18,28.236097,118.819786,208.258636,47.672001
2017-01-19,28.186684,118.761833,207.487106,48.751999
2017-01-20,28.238455,119.022552,208.249466,48.945999
2017-01-23,28.257282,119.119141,207.70752,49.784
2017-01-24,28.231394,119.920677,209.039352,50.922001
2017-01-25,28.680859,121.127792,210.848679,50.894001
2017-01-26,28.694977,121.253357,210.628235,50.501999
2017-01-27,28.697329,121.4851,210.297577,50.59
2017-01-30,28.62203,120.538719,208.993378,50.125999
2017-01-31,28.556139,120.297272,208.975021,50.386002
2017-02-01,30.297512,121.127792,209.057678,49.848
2017-02-02,30.245735,121.021561,209.195435,50.310001
2017-02-03,30.375166,121.369217,210.637405,50.265999
2017-02-06,30.659903,121.514076,210.260864,51.554001
2017-02-07,30.951696,121.958305,210.269989,51.495998
2017-02-08,31.071711,122.161095,210.545593,52.416
2017-02-09,31.296236,122.605309,211.794678,53.84
2017-02-10,31.225334,123.010895,212.630432,53.846001
2017-02-13,31.501848,123.7062,213.787704,56.119999
2017-02-14,31.910721,124.121452,214.641891,56.195999
2017-02-15,32.026524,124.855385,215.762344,55.952
2017-02-16,31.988707,124.816772,215.578705,53.790001
2017-02-17,32.07616,125.357544,215.918518,54.445999
2017-02-21,32.30777,125.975594,217.204361,55.478001
2017-02-22,32.404671,126.023903,217.011444,54.702
2017-02-23,32.267605,125.550705,217.158432,51.198002
2017-02-24,32.298321,125.792145,217.43396,51.400002
2017-02-27,32.362129,125.946655,217.773819,49.245998
2017-02-28,32.376324,125.560371,217.185959,49.998001
2017-03-01,33.038055,126.931648,220.226028,50.004002
2017-03-02,32.841911,126.294289,218.839172,50.096001
2017-03-03,33.035706,126.526077,218.976944,50.313999
2017-03-06,32.931717,126.245964,218.32486,50.242001
2017-03-07,32.974255,126.033546,217.672745,49.717999
2017-03-08,32.85136,126.255638,217.268616,49.374001
2017-03-09,32.775723,126.352234,217.544159,48.98
2017-03-10,32.884445,126.883347,218.306503,48.737999
2017-03-13,32.898632,127.095833,218.416718,49.234001
2017-03-14,32.848988,126.786835,217.580887,51.599998
2017-03-15,33.196423,127.569008,219.463745,51.146
2017-03-16,33.250771,127.482101,219.032028,52.41
2017-03-17,33.085339,127.437607,218.647415,52.299999
2017-03-20,33.432758,127.553734,218.407562,52.383999
2017-03-21,33.049885,125.618279,215.603348,50.136002
2017-03-22,33.423306,126.469902,216.110657,51.001999
2017-03-23,33.305138,126.150551,215.880066,50.956001
2017-03-24,33.238956,126.411827,215.723236,52.632
2017-03-27,33.295685,126.615028,215.501831,54.043999
2017-03-28,33.985802,127.389183,217.070053,55.490002
2017-03-29,34.061417,127.979492,217.272964,55.476002
2017-03-30,34.016518,128.192383,217.964767,55.584
2017-03-31,33.952702,128.105301,217.457413,55.66
2017-04-03,33.962154,128.027878,217.079239,59.703999
2017-04-04,34.215042,128.23111,217.217636,60.740002
2017-04-05,34.037796,127.708549,216.571899,59.0
2017-04-06,33.952702,127.776276,217.180725,59.740002
2017-04-07,33.877083,127.708549,216.959305,60.507999
2017-04-10,33.836903,127.75695,217.088455,62.478001
2017-04-11,33.472935,127.205353,216.83017,61.742001
2017-04-12,33.513111,126.692451,215.880066,59.368
2017-04-13,33.335857,126.189232,214.477936,60.799999
2017-04-17,33.520199,127.234352,216.378174,60.287998
2017-04-18,33.371304,127.040833,215.732483,60.049999
2017-04-19,33.248409,127.244057,215.335831,61.104
2017-04-20,33.664371,128.308517,217.088455,60.501999
2017-04-21,33.624187,128.27948,216.396606,61.119999
2017-04-24,33.947983,129.827835,218.77652,61.605999
2017-04-25,34.158321,130.766495,220.049515,62.757999
2017-04-26,33.957432,130.582672,219.911163,62.034
2017-04-27,33.983429,131.36647,220.095627,61.726002
2017-04-28,33.950336,131.59877,219.615982,62.813999
2017-05-01,34.642822,132.769638,220.169434,64.566002
2017-05-02,34.862617,132.992203,220.252441,63.778
2017-05-03,34.756271,132.566467,219.984909,62.203999
2017-05-04,34.631001,132.614822,220.24324,59.091999
2017-05-05,35.205315,133.098663,221.110321,61.669998
2017-05-08,36.162495,133.389008,221.073425,61.438
2017-05-09,36.394115,133.853516,220.870499,64.251999
2017-05-10,36.221581,133.930878,221.267166,65.043999
2017-05-11,36.534832,133.824478,220.815155,64.620003
2017-05-12,37.045063,134.124481,220.446182,64.961998
2017-05-15,36.950134,134.550232,221.663818,63.175999
2017-05-16,36.89555,135.111511,221.460846,63.402
2017-05-17,35.656765,131.676163,217.531204,61.222
2017-05-18,36.200222,132.827682,218.407562,62.612
2017-05-19,36.323624,133.389008,219.82811,62.166
2017-05-22,36.544334,134.51152,220.944321,62.07
2017-05-23,36.499229,134.647049,221.433151,60.771999
2017-05-24,36.390079,135.266373,221.949753,62.043999
2017-05-25,36.515846,136.417953,223.010559,63.366001
2017-05-26,36.454144,136.659851,222.964447,65.028
2017-05-30,36.46838,136.775986,222.770721,67.019997
2017-05-31,36.252426,136.72757,222.715363,68.202003
2017-06-01,36.352093,137.259827,224.486511,68.073997
2017-06-02,36.8908,138.827545,225.233643,67.970001
2017-06-05,36.530079,138.798492,225.067627,69.463997
2017-06-06,36.6535,138.246857,224.348129,70.57
2017-06-07,36.871826,138.788818,224.763229,71.93
2017-06-08,36.781643,138.933975,224.873901,74.0
2017-06-09,35.355362,135.459915,224.532608,71.463997
2017-06-12,34.510525,134.7341,224.486511,71.802002
2017-06-13,34.788185,135.827637,225.584183,75.190002
2017-06-14,34.448822,135.23732,225.298233,76.132004
2017-06-15,34.242363,134.637344,224.864685,75.068001
2017-06-16,33.762974,134.053177,224.913773,74.279999
2017-06-19,34.728855,136.294724,226.786255,73.959999
2017-06-20,34.413219,135.227295,225.25679,74.447998
2017-06-21,34.617317,136.566406,225.201157,75.279999
2017-06-22,34.560356,136.527573,225.099197,76.522003
2017-06-23,34.714615,137.051575,225.368011,76.690002
